nodeid	seq_no	src_id	rec_time_h	rec_time_l	hop_delay_h	hop_delay_l	parent_ETD	local_ETD	delta_ETD	long_link_sender	MPD	shortcut_sender	tree_sender	insert_time	motelabMoteID	milli_time	motelabSeqNo
48	6	41	13	42346	13	43284	29	34	5	0	57	0	0	2018-07-23 10:25:05	40048	1532312705552	232
17	6	4	13	44104	13	44146	5	5	65535	0	198	0	0	2018-07-23 10:25:05	40017	1532312705586	233
66	6	64	13	42609	13	43306	11	18	7	0	69	1	0	2018-07-23 10:25:05	40066	1532312705636	234
72	6	70	13	42212	13	42201	12	17	5	0	174	0	0	2018-07-23 10:25:05	40072	1532312705702	235
53	6	50	13	42100	13	42790	33	38	5	0	65535	0	0	2018-07-23 10:25:05	40053	1532312705769	236
50	6	70	13	42790	13	42169	12	33	21	1	142	0	0	2018-07-23 10:25:05	40050	1532312705803	237
32	6	41	13	43233	13	43384	29	36	7	0	157	0	0	2018-07-23 10:25:05	40032	1532312705836	238
38	6	44	13	43283	13	42431	24	19	65535	0	194	0	1	2018-07-23 10:25:05	40038	1532312705869	239
24	6	44	13	43578	13	42713	24	38	14	0	476	0	0	2018-07-23 10:25:05	40024	1532312705903	240
56	6	37	13	42843	13	43646	14	23	9	0	571	0	0	2018-07-23 10:25:05	40056	1532312705936	241
41	6	50	13	43227	13	42933	33	29	65535	0	143	0	1	2018-07-23 10:25:06	40041	1532312706103	242
67	6	64	13	42574	13	43266	11	10	65535	0	29	1	0	2018-07-23 10:25:06	40067	1532312706137	243
39	6	37	13	43600	13	43553	14	19	5	0	478	0	0	2018-07-23 10:25:06	40039	1532312706170	244
47	6	50	13	42508	13	43172	33	34	1	0	382	0	0	2018-07-23 10:25:06	40047	1532312706237	245
